system	x	y	x_name	y_name	edge_type	x_number	y_number	x_id	y_id	n_x	sh_x	median_x	q90_x	frac>0_x	variance_x	std_x	n_y	sh_y	median_y	q90_y	frac>0_y	variance_y	std_y	abs_delta	delta	cohens_d	system_name	pct_change	abs_pct_change
Brain_spinal_cord	BS_M14	BS_M15	Diencephalon	Dorsal telencephalon	Developmental progression	213	214	76	79	78021	0.1054517548544	-0.0318214035034179	0.777690200805664	0.489252893451763	0.243918009969666	0.493880562453784	30144	-0.174602550272181	-0.279350865681966	0.281624839464823	0.210522823779193	0.0797875907806804	0.282466972902462	0.280054	-0.280054	-0.6961	Brain_spinal_cord	-265.58	265.58
Brain_spinal_cord	BS_M42	BS_M5	Spinal dI2 interneurons	Cerebellar Purkinje cells	Developmental progression	244	252	236	46	21843	0.0192526457188165	-0.0693880462646484	0.409481259346008	0.196035343130522	0.0473005585991585	0.217486915926357	26737	-0.2340936616026	-0.279143142700195	-0.0414543027877807	0.0899128548453454	0.0299322423093094	0.173009370582375	0.253346	-0.253346	-1.2892	Brain_spinal_cord	-1315.9	1315.9
Brain_spinal_cord	BS_M6	BS_M28	Cerebellum-related cells	Multiciliated ependymal cells	Developmental progression	260	228	47	154	9252	0.21548594019155	0.110652515888214	0.998706426620483	0.543450064850843	0.312465237753223	0.558985901211491	10452	-0.0267291244863323	-0.211430034637451	0.552139702161153	0.383275928052047	0.165668579609862	0.407024052864031	0.242215	-0.242215	-0.4954	Brain_spinal_cord	-112.4	112.4
Brain_spinal_cord	BS_M20	BS_M34	Hindbrain	Floorplate and p3 domain	Developmental progression	220	235	115	95	197367	0.103053345427093	-0.0550983460744221	0.766168398539225	0.485871498274788	0.244167442165087	0.494133020719206	44992	0.3423115149509	0.340360816319783	1.05843235397339	0.665184921763869	0.31098009001451	0.557655888532086	0.239258	0.239258	0.4541	Brain_spinal_cord	232.17	232.17
Brain_spinal_cord	BS_M34	BS_M32	Floorplate and p3 domain	Neurons (Slc17a8+)	Developmental progression	235	233	95	172	44992	0.3423115149509	0.340360816319783	1.05843235397339	0.665184921763869	0.31098009001451	0.557655888532086	1957	0.109342810285699	-0.0587011973063151	0.549563772837321	0.349514563106796	0.0844451951861942	0.290594554639612	0.232969	-0.232969	-0.5239	Brain_spinal_cord	-68.06	68.06
Brain_spinal_cord	BS_M3	BS_M28	Astrocytes	Multiciliated ependymal cells	Developmental progression	230	228	27	154	109750	0.197301361809794	0.197930423418681	0.811021277109782	0.598451025056948	0.234251399740488	0.483995247642462	10452	-0.0267291244863323	-0.211430034637451	0.552139702161153	0.383275928052047	0.165668579609862	0.407024052864031	0.22403	-0.22403	-0.501	Brain_spinal_cord	-113.55	113.55
Brain_spinal_cord	BS_M51	BS_M19	Spinal V3 interneurons	Glutamatergic neurons (after E13.0)	Developmental progression	254	218	229	103	4440	0.205479289754733	-0.0305607811609903	0.727993386268616	0.480630630630631	0.122110536615773	0.349443180811664	570526	-0.009946817087078	-0.0734684944152831	0.265223100185394	0.177530910072459	0.0332255507278166	0.182278772016427	0.215426	-0.215426	-0.773	Brain_spinal_cord	-104.84	104.84
Brain_spinal_cord	BS_M34	BS_M10	Floorplate and p3 domain	Cranial motor neurons	Developmental progression	235	209	95	65	44992	0.3423115149509	0.340360816319783	1.05843235397339	0.665184921763869	0.31098009001451	0.557655888532086	23754	0.129530485828222	-0.0571768379211425	0.630049894650777	0.382293508461733	0.110588430665865	0.332548388457777	0.212781	-0.212781	-0.4635	Brain_spinal_cord	-62.16	62.16
Brain_spinal_cord	BS_M40	BS_M34	Spinal cord/r7/r8	Floorplate and p3 domain	Developmental progression	242	235	234	95	395636	0.136689090693391	0.0402177397410075	0.777916674613953	0.511889716810402	0.238213156191441	0.488070851610133	44992	0.3423115149509	0.340360816319783	1.05843235397339	0.665184921763869	0.31098009001451	0.557655888532086	0.205622	0.205622	0.3924	Brain_spinal_cord	150.43	150.43
Brain_spinal_cord	BS_M24	BS_M11	Intermediate neuronal progenitors	Deep-layer neurons	Developmental progression	224	210	123	66	42068	-0.239470267113166	-0.271895306905111	-0.138902460734049	0.0655842920985071	0.0300685569345399	0.173402874643242	236402	-0.037414452020403	-0.0758488845825195	0.0906852114995319	0.105159854823563	0.020560627753912	0.143389775625433	0.202056	0.202056	1.2699	Brain_spinal_cord	-84.38	84.38
