id	meta_group	celltype_new	system	sh
269	M_M14	Myoblasts	Mesoderm	-0.230280023618714
270	M_M15	Myofibroblasts	Mesoderm	-0.276627194342971
271	M_M16	Myotubes	Mesoderm	-0.190594085000452
272	M_M17	Pre-osteoblasts (Sp7+)	Mesoderm	0.193468146072951
273	M_M18	Sclerotome	Mesoderm	0.083815599606748
274	M_M2	Adipocyte progenitor cells	Mesoderm	-0.301890285024949
275	M_M3	Brown adipocyte cells	Mesoderm	-0.24690066560576
276	M_M4	Chondrocytes (Atp1a2+)	Mesoderm	-0.0408802135528032
277	M_M5	Chondrocytes (Otor+)	Mesoderm	-0.150745144491879
278	M_M6	Dermatome	Mesoderm	0.075558483087522
279	M_M7	Dermomyotome	Mesoderm	-0.0803761205517386
280	M_M8	Early chondrocytes	Mesoderm	0.163162207001696
281	M_M9	Facial mesenchyme	Mesoderm	-0.0252228881155952
282	No_M1	Notochord	Notochord	0.334254549623341
283	No_M2	Ciliated nodal cells	Notochord	0.205492354578442
