"system"	"x"	"y"	"x_name"	"y_name"	"edge_type"	"x_number"	"y_number"	"x_id"	"y_id"
"Renal"	"R_M10"	"R_M7"	"Posterior intermediate mesoderm"	"Metanephric mesenchyme"	"Developmental progression"	140	150	203	144
"Renal"	"R_M8"	"R_M11"	"Nephron progenitors"	"Proximal tubule cells"	"Developmental progression"	151	141	166	212
"Renal"	"R_M7"	"R_M8"	"Metanephric mesenchyme"	"Nephron progenitors"	"Developmental progression"	150	151	144	166
"Renal"	"R_M1"	"R_M10"	"Anterior intermediate mesoderm"	"Posterior intermediate mesoderm"	"Developmental progression"	139	140	21	203
"Renal"	"R_M8"	"R_M9"	"Nephron progenitors"	"Podocytes"	"Developmental progression"	151	152	166	202
"Renal"	"R_M10"	"R_M12"	"Posterior intermediate mesoderm"	"Renal pericytes and mesangial cells"	"Developmental progression"	140	142	203	214
"Renal"	"R_M8"	"R_M2"	"Nephron progenitors"	"Ascending loop of Henle"	"Developmental progression"	151	145	166	26
"Renal"	"R_M1"	"R_M13"	"Anterior intermediate mesoderm"	"Ureteric bud"	"Developmental progression"	139	143	21	256
"Renal"	"R_M13"	"R_M4"	"Ureteric bud"	"Collecting duct principal cells"	"Developmental progression"	143	147	256	56
"Renal"	"R_M8"	"R_M6"	"Nephron progenitors"	"Distal convoluted tubule"	"Developmental progression"	151	149	166	77
"Renal"	"R_M1"	"R_M8"	"Anterior intermediate mesoderm"	"Nephron progenitors"	"Developmental progression"	139	151	21	166
"Renal"	"R_M13"	"R_M14"	"Ureteric bud"	"Ureteric bud stalk"	"Developmental progression"	143	144	256	257
"Renal"	"R_M8"	"R_M5"	"Nephron progenitors"	"Connecting tubule"	"Developmental progression"	151	148	166	60
"Renal"	"R_M4"	"R_M3"	"Collecting duct principal cells"	"Collecting duct intercalated cells"	"Developmental progression"	147	146	56	55
"Renal"	"R_M5"	"R_M3"	"Connecting tubule"	"Collecting duct intercalated cells"	"Developmental progression"	148	146	60	55
"Gut"	"G_M8"	"G_M14"	"Gut"	"Midgut/Hindgut epithelial cells"	"Developmental progression"	123	114	108	150
"Gut"	"G_M13"	"G_M4"	"Lung progenitor cells"	"Alveolar Type 2 cells"	"Developmental progression"	113	119	135	15
"Gut"	"G_M13"	"G_M3"	"Lung progenitor cells"	"Alveolar Type 1 cells"	"Developmental progression"	113	118	135	14
