"system","x","y","x_name","y_name","edge_type","x_number.x","y_number.x","x_id.x","y_id.x","x_number.y","y_number.y","x_id.y","y_id.y","n_x","median_x","sh_x","q90_x","frac>0_x","variance_x","std_x","n_y","median_y","sh_y","q90_y","frac>0_y","variance_y","std_y","abs_delta","delta","cohens_d","pct_change","abs_pct_change","system_name"
"Gastrulation","Ga_M28","Ga_M34","Nascent mesoderm","Primordial germ cells","Developmental progression",44,50,164,210,5501,380,"Ga_M28","Ga_M34",5501,0,0.0032225857924821,0,0.0461734230139974,0.0003400304824716,0.0184399154681253,380,0,0.002028947368421,0,0.0236842105263157,0.0002720440798688,0.0164937588156514,0.0011936384240611,-0.0011936384240611,-0.0682,-37.039771814476,37.039771814476,"Gastrulation"
"Gastrulation","Ga_M35","Ga_M19","Spinal cord","Floor plate","Developmental progression",51,35,230,94,2150,258,"Ga_M35","Ga_M19",2150,0,0.015675142118863,0.0439666666666667,0.129302325581395,0.0024370790749084,0.0493667810871684,258,0.0766666666666666,0.0965757967269595,0.255,0.593023255813954,0.0099001917873845,0.0994997074738642,0.0809006546080964,0.0809006546080964,1.03,516.107949737456,516.107949737456,"Gastrulation"
"Gastrulation","Ga_M14","Ga_M34","CLE and NMPs","Primordial germ cells","Developmental progression",30,50,42,210,4992,380,"Ga_M14","Ga_M34",4992,0,0.006091635505698,0,0.0586939102564102,0.0009089940649455,0.0301495284365371,380,0,0.002028947368421,0,0.0236842105263157,0.0002720440798688,0.0164937588156514,0.0040626881372769,-0.0040626881372769,-0.1672,-66.6928960781844,66.6928960781844,"Gastrulation"
"Gastrulation","Ga_M28","Ga_M26","Nascent mesoderm","Lateral plate mesoderm","Developmental progression",44,42,164,128,5501,2580,"Ga_M28","Ga_M26",5501,0,0.0032225857924821,0,0.0461734230139974,0.0003400304824716,0.0184399154681253,2580,0,0.0180307924203273,0.0815666666666667,0.163178294573643,0.0023549534313269,0.048527862422808,0.0148082066278451,0.0148082066278451,0.4034,459.513185417453,459.513185417453,"Gastrulation"
"Gastrulation","Ga_M28","Ga_M32","Nascent mesoderm","Paraxial mesoderm (Tbx6-)","Developmental progression",44,48,164,193,5501,3107,"Ga_M28","Ga_M32",5501,0,0.0032225857924821,0,0.0461734230139974,0.0003400304824716,0.0184399154681253,3107,0,0.0165324893609412,0.0620444444444445,0.144190537495977,0.0024506276704615,0.0495038147061572,0.013309903568459,0.013309903568459,0.3563,413.019370950779,413.019370950779,"Gastrulation"
"Notochord","No_M1","No_M2","Notochord","Ciliated nodal cells","Developmental progression",282,283,174,53,282,283,"40","262",3752,0.318333333333333,0.283269485903814,0.476266666666667,0.870202558635394,0.0239114792996911,0.154633370588923,60,0.311,0.297072222222222,0.342988888888889,0.916666666666667,0.0132365418811466,0.115050171147837,0.013803,0.013803,0.1013,4.87,4.87,"Notochord"
"Blood","B_M8","B_M9","Definitive early erythroblasts (CD36-)","Definitive erythroblasts (CD36+)","Developmental progression",206,207,67,70,206,207,"188","189",929291,0,0.0188329592727741,0.0618888888888888,0.118425767601322,0.003459775323524,0.0588198548410653,92446,0,0.0039714439901251,0,0.0157605521060943,0.0010312823537838,0.0321135851904423,0.014862,-0.014862,-0.3136,-78.91,78.91,"Blood"
"Blood","B_M11","B_M18","Hematopoietic stem cells (Cd34+)","Monocytes","Developmental progression",183,190,111,151,183,190,"166","173",37750,0,0.0158012774098601,0.034,0.113456953642384,0.0027579163465405,0.0525158675691499,29268,0,0.0056960540901705,0,0.0406245729123957,0.0010604886199337,0.0325651442486241,0.010105,-0.010105,-0.2313,-63.95,63.95,"Blood"
"Blood","B_M19","B_M23","Monocytic myeloid-derived suppressor cells","PMN myeloid-derived suppressor cells","Developmental progression",191,196,152,186,191,196,"174","179",24741,0,0.0033044384265434,0,0.0214219312073077,0.000653003509492,0.0255539333467863,15382,0,0.0018243834785246,0,0.0086464698998829,0.000418519796109,0.0204577563801361,0.00148,-0.00148,-0.0639,-44.79,44.79,"Blood"
"Blood","B_M25","B_M26","Regulatory T cells","T cells","Developmental progression",198,199,213,247,198,199,"180","181",9800,0,0.0239902040816326,0.116688888888889,0.146530612244898,0.0044051856007314,0.0663715722333846,70028,0,0.017122393899583,0,0.0949334551893528,0.0034540435011949,0.0587711111107736,0.006868,-0.006868,-0.1096,-28.63,28.63,"Blood"
