system	x	y	x_name	y_name	edge_type	abs_delta	delta	sh_x	sh_y	x_id	y_id
Gut	G_M8	G_M15	Gut	Pancreatic acinar cells	Developmental progression	0.119788	-0.119788	0.163179081651295	0.0433914242505115	123	115
Gut	G_M8	G_M5	Gut	Biliary epithelial cells	Developmental progression	0.128567	-0.128567	0.163179081651295	0.0346118127312157	123	120
Gut	G_M13	G_M2	Lung progenitor cells	Airway goblet cells	Developmental progression	0.080285	-0.080285	0.100682995262407	0.0203981481481481	113	117
Gut	G_M8	G_M16	Gut	Pancreatic islets	Developmental progression	0.131471	-0.131471	0.163179081651295	0.0317077349458301	123	116
Gut	G_M14	G_M10	Midgut/Hindgut epithelial cells	Intestinal enteroendocrine cells	Developmental progression	0.000997	0.000997	0.0158948908160066	0.016891583747927	114	110
PNS_glia	PG_M4	PG_M2	Neural crest (PNS glia)	Myelinating Schwann cells	Developmental progression	0.032323	-0.032323	0.0587415092995083	0.0264183669933436	128	126
PNS_glia	PG_M4	PG_M6	Neural crest (PNS glia)	Satellite glial cells	Developmental progression	0.008886	0.008886	0.0587415092995083	0.0676274018379281	128	130
PNS_glia	PG_M4	PG_M3	Neural crest (PNS glia)	Myelinating Schwann cells (Tgfb2+)	Developmental progression	0.012504	-0.012504	0.0587415092995083	0.046237185164468	128	127
PNS_glia	PG_M2	PG_M5	Myelinating Schwann cells	Olfactory ensheathing cells	Developmental progression	0.008145	0.008145	0.0264183669933436	0.0345636066773639	126	129
PNS_glia	PG_M4	PG_M5	Neural crest (PNS glia)	Olfactory ensheathing cells	Developmental progression	0.024178	-0.024178	0.0587415092995083	0.0345636066773639	128	129
PNS_glia	PG_M4	PG_M1	Neural crest (PNS glia)	Melanocyte cells	Developmental progression	0.041089	-0.041089	0.0587415092995083	0.0176525964166413	128	125
PNS_neurons	PN_M4	PN_M5	Neural crest (PNS neurons)	Olfactory sensory neurons	Developmental progression	0.015747	-0.015747	0.0325816694353412	0.0168344453051467	134	135
PNS_neurons	PN_M4	PN_M2	Neural crest (PNS neurons)	Dorsal root ganglion neurons	Developmental progression	0.019536	-0.019536	0.0325816694353412	0.0130459925399131	134	132
PNS_neurons	PN_M4	PN_M3	Neural crest (PNS neurons)	Enteric neurons	Developmental progression	0.003435	-0.003435	0.0325816694353412	0.0291462293712137	134	133
PNS_neurons	PN_M5	PN_M1	Olfactory sensory neurons	Corticofugal neurons	Developmental progression	0.005474	-0.005474	0.0168344453051467	0.0113603689189724	135	131
PNS_neurons	PN_M4	PN_M6	Neural crest (PNS neurons)	Otic sensory neurons	Developmental progression	0.007039	0.007039	0.0325816694353412	0.0396210975126069	134	136
PNS_neurons	PN_M4	PN_M8	Neural crest (PNS neurons)	Sympathetic neurons	Developmental progression	0.002558	0.002558	0.0325816694353412	0.0351394983093496	134	138
PNS_neurons	PN_M4	PN_M7	Neural crest (PNS neurons)	Parasympathetic neurons	Developmental progression	0.005392	-0.005392	0.0325816694353412	0.0271897787887252	134	137
PNS_neurons	PN_M4	PN_M1	Neural crest (PNS neurons)	Corticofugal neurons	Developmental progression	0.021221	-0.021221	0.0325816694353412	0.0113603689189724	134	131
Lateral_plate_mesoderm	L_M24	L_M16	Somatic mesoderm	Limb mesenchyme progenitors	Developmental progression	0.028614	0.028614	0.0426248394582477	0.0712391219804276	169	160
Lateral_plate_mesoderm	L_M25	L_M9	Splanchnic mesoderm	Foregut mesenchyme	Developmental progression	0.097685	0.097685	0.150717741774099	0.248403028674831	170	180
Lateral_plate_mesoderm	L_M25	L_M14	Splanchnic mesoderm	Hepatic mesenchyme	Developmental progression	0.010368	-0.010368	0.150717741774099	0.140350006688226	170	158
Lateral_plate_mesoderm	L_M25	L_M19	Splanchnic mesoderm	Mesothelial cells	Developmental progression	0.046584	-0.046584	0.150717741774099	0.104133533746545	170	163
Lateral_plate_mesoderm	L_M26	L_M27	Vascular smooth muscle cells	Vascular smooth muscle cells (Pparg+)	Developmental progression	0.015232	-0.015232	0.0327537031671794	0.0175213189588189	171	172
Lateral_plate_mesoderm	L_M7	L_M16	Extraembryonic mesoderm	Limb mesenchyme progenitors	Developmental progression	0.016065	-0.016065	0.0873044235518559	0.0712391219804276	178	160
Lateral_plate_mesoderm	L_M25	L_M21	Splanchnic mesoderm	Renal stromal cells	Developmental progression	0.028208	-0.028208	0.150717741774099	0.12250925440894	170	166
Lateral_plate_mesoderm	L_M13	L_M10	Gut mesenchyme	Gastrointestinal smooth muscle cells	Developmental progression	0.128223	-0.128223	0.303656467669776	0.175433626696003	157	154
Lateral_plate_mesoderm	L_M25	L_M8	Splanchnic mesoderm	First heart field	Developmental progression	0.110646	-0.110646	0.150717741774099	0.0400722239676056	170	179
