system	meta_group	total_cells_node	node_age_mean	node_age_weighted	n_celltypes_in_node	delta_input	delta_output	delta_delta
Pre_gastrulation	PGa_M1	NA	0	0	1	0	0.018356485178392	-0.018356485178392
Pre_gastrulation	PGa_M10	NA	0.6	0.6	1	0.043168975167495	-0.01890023585490801	0.06206921102240301
Pre_gastrulation	PGa_M11	NA	0.6666666666666666	0.6666666666666666	1	0.00893257822377929	0.0182618173494132	-0.009329239125633909
Pre_gastrulation	PGa_M12	NA	0.7333333333333333	0.7333333333333333	1	-0.0278328140786873	-0.020832318773250903	-0.007000495305436397
Pre_gastrulation	PGa_M13	NA	0.8	0.8	1	-0.0318312932735365	0.011861603585829	-0.043692896859365504
Pre_gastrulation	PGa_M14	NA	0.8666666666666667	0.8666666666666667	1	0.0109989745002856	-0.0238646399954748	0.0348636144957604
Pre_gastrulation	PGa_M15	NA	0.9333333333333332	0.9333333333333332	1	-0.0116291359981384	-0.0023212028836624102	-0.00930793311447599
Pre_gastrulation	PGa_M16	NA	1	1	1	3.827197184142e-4	-0.00961294687486867	0.00999566659328287
Pre_gastrulation	PGa_M2	NA	0.06666666666666667	0.06666666666666667	1	0.018356485178392	0.0177090924834339	6.473926949581016e-4
Pre_gastrulation	PGa_M3	NA	0.13333333333333333	0.13333333333333333	1	0.0177090924834339	-0.0235755803593913	0.0412846728428252
