id	meta_group	celltype_new	system	sh
269	M_M14	Myoblasts	Mesoderm	-0.707885279238777
270	M_M15	Myofibroblasts	Mesoderm	-1.53923501594922
271	M_M16	Myotubes	Mesoderm	-0.972918167712761
272	M_M17	Pre-osteoblasts (Sp7+)	Mesoderm	0.550237433256162
273	M_M18	Sclerotome	Mesoderm	0.652642450880266
274	M_M2	Adipocyte progenitor cells	Mesoderm	-0.852851446637447
275	M_M3	Brown adipocyte cells	Mesoderm	-0.98171516665804
276	M_M4	Chondrocytes (Atp1a2+)	Mesoderm	-0.332693802161537
277	M_M5	Chondrocytes (Otor+)	Mesoderm	-0.858291865548859
278	M_M6	Dermatome	Mesoderm	-0.0337512587733771
279	M_M7	Dermomyotome	Mesoderm	0.237452201506081
280	M_M8	Early chondrocytes	Mesoderm	0.530147501304582
281	M_M9	Facial mesenchyme	Mesoderm	0.336753883846404
282	No_M1	Notochord	Notochord	0.012133066112807
283	No_M2	Ciliated nodal cells	Notochord	-1.07670172643661
