system,x,y,x_name,y_name,edge_type,x_number,y_number,x_id,y_id,n_x,sh_x,median_x,q90_x,frac>0_x,variance_x,std_x,n_y,sh_y,median_y,q90_y,frac>0_y,variance_y,std_y,abs_delta,delta,cohens_d,pct_change,abs_pct_change
Brain_spinal_cord,BS_M46,BS_M18,Spinal dI6 interneurons,GABAergic neurons (after E13.0),Developmental progression,248,217,240,100,10964,0.0479311992156452,-0.0646219476064046,0.4401972947120667,0.2621306092666909,0.0532402890610501,0.2307385729804407,292004,-0.0023757197740751,-0.0739524714152018,0.2962472710609436,0.1982027643456939,0.0359394175010712,0.1895769434848848,0.050307,-0.050307,-0.2382,-104.96,104.96
Brain_spinal_cord,BS_M45,BS_M19,Spinal dI5 interneurons,Glutamatergic neurons (after E13.0),Developmental progression,247,218,239,103,39157,0.0390962065526684,-0.0687705357869466,0.4591226062774659,0.2293842735653906,0.0580346560043358,0.2409038314438685,570526,-0.009946817087078,-0.0734684944152831,0.2652231001853943,0.1775309100724594,0.0332255507278166,0.1822787720164271,0.049043,-0.049043,-0.2296,-125.44,125.44
Brain_spinal_cord,BS_M40,BS_M38,Spinal cord/r7/r8,Spinal cord motor neurons,Developmental progression,242,239,234,232,395636,0.1366890906933909,0.0402177397410075,0.7779166746139526,0.5118897168104015,0.2382131561914407,0.4880708516101332,31680,0.0879387216959085,-0.0660842164357503,0.5220370330810549,0.3326073232323232,0.085374555699121,0.2921892463783036,0.04875,-0.04875,-0.1212,-35.67,35.67
Brain_spinal_cord,BS_M15,BS_M7,Dorsal telencephalon,Choroid plexus,Developmental progression,214,261,79,51,30144,-0.1746025502721806,-0.2793508656819661,0.2816248394648235,0.2105228237791932,0.0797875907806804,0.2824669729024625,9441,-0.1264288450659944,-0.2324051666259765,0.29756294409434,0.2617307488613494,0.0776908782619834,0.2787308347886602,0.048174,0.048174,0.1717,-27.59,27.59
Brain_spinal_cord,BS_M21,BS_M36,Hypothalamic Sim1 neurons,Precerebellar neurons,Developmental progression,221,237,118,207,19592,0.0757080723496786,-0.0626638666788736,0.5154287988344831,0.2853205389955083,0.074360013041001,0.2726903244359819,1286,0.0305497378249932,-0.0686691824595133,0.4150420395533244,0.2262830482115085,0.0483840558675752,0.2199637603505979,0.045158,-0.045158,-0.1823,-59.65,59.65
Brain_spinal_cord,BS_M47,BS_M36,Spinal V0 interneurons,Precerebellar neurons,Developmental progression,249,237,225,207,9397,0.0743866723853459,-0.0626823361714681,0.5082305908203124,0.2919016707459828,0.0688308350870231,0.2623563132212052,1286,0.0305497378249932,-0.0686691824595133,0.4150420395533244,0.2262830482115085,0.0483840558675752,0.2199637603505979,0.043837,-0.043837,-0.1811,-58.93,58.93
Brain_spinal_cord,BS_M40,BS_M49,Spinal cord/r7/r8,Spinal V2a interneurons,Developmental progression,242,251,234,227,395636,0.1366890906933909,0.0402177397410075,0.7779166746139526,0.5118897168104015,0.2382131561914407,0.4880708516101332,11065,0.0953653457629104,-0.0640818405151367,0.5644913495381674,0.3111613194758246,0.0868611419168575,0.2947221435807931,0.041324,-0.041324,-0.1025,-30.23,30.23
Brain_spinal_cord,BS_M43,BS_M19,Spinal dI3 interneurons,Glutamatergic neurons (after E13.0),Developmental progression,245,218,237,103,5430,0.0302323496414884,-0.0700836054484049,0.407250249862671,0.2449355432780847,0.0483285601381872,0.2198375767201486,570526,-0.009946817087078,-0.0734684944152831,0.2652231001853943,0.1775309100724594,0.0332255507278166,0.1822787720164271,0.040179,-0.040179,-0.199,-132.9,132.9
Brain_spinal_cord,BS_M33,BS_M8,Oligodendrocyte progenitor cells,Committed oligodendrocyte precursors,Developmental progression,234,262,180,57,29522,-0.0946420630863321,-0.214361572265625,0.3721180721918743,0.2725425106700088,0.0898005677995498,0.2996674286597559,1865,-0.0550866318741901,-0.1859853363037109,0.4518877417246503,0.285254691689008,0.1013122790606885,0.3182958985923139,0.039555,0.039555,0.128,-41.79,41.79
Brain_spinal_cord,BS_M42,BS_M19,Spinal dI2 interneurons,Glutamatergic neurons (after E13.0),Developmental progression,244,218,236,103,21843,0.0192526457188165,-0.0693880462646484,0.4094812593460082,0.1960353431305223,0.0473005585991585,0.2174869159263575,570526,-0.009946817087078,-0.0734684944152831,0.2652231001853943,0.1775309100724594,0.0332255507278166,0.1822787720164271,0.029199,-0.029199,-0.1455,-151.66,151.66
Brain_spinal_cord,BS_M40,BS_M48,Spinal cord/r7/r8,Spinal V1 interneurons,Developmental progression,242,250,234,226,395636,0.1366890906933909,0.0402177397410075,0.7779166746139526,0.5118897168104015,0.2382131561914407,0.4880708516101332,31325,0.1639040432265541,-0.0539919026692708,0.6891533406575521,0.3656185155626496,0.1372717602432524,0.3705020381094447,0.027215,0.027215,0.0628,19.91,19.91
Brain_spinal_cord,BS_M1,BS_M26,Anterior floor plate,Midbrain dopaminergic neurons,Developmental progression,208,226,20,148,16274,0.0702193789847201,0.0168840463956197,0.6126277605692546,0.507005038712056,0.1581481835172556,0.3976784926511058,5495,0.0486489505469889,-0.0654075876871744,0.4728988367716471,0.2373066424021838,0.0589426934228087,0.2427811636490951,0.02157,-0.02157,-0.0655,-30.72,30.72
