index	system	celltype_new	n_cells	mean_ucell	pct_ucell_pos
229	Mesoderm	Mesodermal progenitors (Tbx6+)	50325.0	0.20365356739006646	0.5902036761053154
230	Mesoderm	Muscle progenitor cells	27017.0	0.17547574322553058	0.4509753118406929
231	Mesoderm	Muscle progenitor cells (Prdm1+)	5017.0	0.11767405743321996	0.4090093681482958
232	Mesoderm	Myoblasts	185751.0	0.07705205062425632	0.23109431443168543
233	Mesoderm	Myofibroblasts	43951.0	0.03972530351134056	0.18304475438556575
234	Mesoderm	Myotubes	43267.0	0.040378770728092296	0.14068458640534356
235	Mesoderm	Pre-osteoblasts (Sp7+)	135893.0	0.22782606031677075	0.5550396267651756
236	Mesoderm	Sclerotome	476671.0	0.21319998278893393	0.5227546882440929
237	Notochord	Ciliated nodal cells	60.0	0.2970722222222222	0.9166666666666666
238	Notochord	Notochord	3752.0	0.2832694859038143	0.8702025586353944
239	PNS_glia	Melanocyte cells	3293.0	0.01765259641664136	0.10841178256908594
240	PNS_glia	Myelinating Schwann cells	35271.0	0.026418366993343604	0.16092540614102238
241	PNS_glia	Myelinating Schwann cells (Tgfb2+)	7151.0	0.04623718516446806	0.23758914837085723
242	PNS_glia	Neural crest (PNS glia)	70165.0	0.058741509299508304	0.3072614551414523
243	PNS_glia	Olfactory ensheathing cells	3947.0	0.03456360667736396	0.18925766404864455
244	PNS_glia	Satellite glial cells	6916.0	0.06762740183792815	0.34615384615384615
245	PNS_neurons	Corticofugal neurons	2807.0	0.01136036891897241	0.07659422871392946
246	PNS_neurons	Dorsal root ganglion neurons	13077.0	0.013045992539913164	0.10728760419056359
247	PNS_neurons	Enteric neurons	4787.0	0.0291462293712137	0.1907248798830165
248	PNS_neurons	Neural crest (PNS neurons)	51569.0	0.032581669435341215	0.213131920339739
249	PNS_neurons	Olfactory sensory neurons	40019.0	0.016834445305146724	0.11109722881631225
250	PNS_neurons	Otic sensory neurons	7844.0	0.03962109751260695	0.23419173890872005
251	PNS_neurons	Parasympathetic neurons	8353.0	0.027189778788725277	0.18520292110618938
252	PNS_neurons	Sympathetic neurons	18369.0	0.03513949830934969	0.2196091240677228
253	Renal	Anterior intermediate mesoderm	7846.0	0.03401707876625032	0.2074942645934234
254	Renal	Ascending loop of Henle	4087.0	0.01821137481988962	0.11304135062392953
255	Renal	Collecting duct intercalated cells	434.0	0.0550468509984639	0.27880184331797236
256	Renal	Collecting duct principal cells	1895.0	0.030377777777777774	0.18944591029023747
257	Renal	Connecting tubule	563.0	0.015819222419577658	0.12078152753108348
258	Renal	Distal convoluted tubule	1287.0	0.011098938098938098	0.07459207459207459
259	Renal	Metanephric mesenchyme	29547.0	0.05318982186572805	0.2923139405015738
260	Renal	Nephron progenitors	20280.0	0.03662978303747534	0.21612426035502957
261	Renal	Podocytes	4879.0	0.04637637494021999	0.24718179954908792
262	Renal	Posterior intermediate mesoderm	10600.0	0.06426642557651992	0.33867924528301885
263	Renal	Proximal tubule cells	16160.0	0.018376526402640266	0.11738861386138613
264	Renal	Renal pericytes and mesangial cells	7956.0	0.11483551198257082	0.4287330316742081
265	Renal	Ureteric bud	5851.0	0.03713023414800889	0.22406426251922748
266	Renal	Ureteric bud stalk	401.0	0.06116126350789692	0.371571072319202
